Question,Answer
Are there tutorials in the first week?: ,No. Tutorials start on January 15th. 
"Due Dates: <div>
<div>
<div>
<div>
<div>
<p>Hello, </p>
<p></p>
<p>I was going through the Quercus page and I noticed that there were no due dates posted for any assignment. Can you please post each due date? I find that having the due dates available help me significantly with managing my time in a semester.</p>
</div>
</div>
</div>
</div>
</div>","You can find all the important due dates on the Course Overview page under the Start Here module. 
<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm7ul1bsu483t3%2Fd895bd51499b3ffdb8ebdae506322e150a020ede6d1f5c8df941e4125af8e478%2Fimage.png"" alt=""image.png"" />"
Midterms Weighting: How much is each midterm weighted? Also where can we find the specific due dates for Tutorials and Webworks?,"Tutorial worksheets are due during the weekly tutorials. The due date depends on the tutorial section you are registered in. We plan to have the first midterm at 10% and the second at 15%. The two midterms together are worth %25.
Tutorial worksheets are due during the weekly tutorials. The due date depends on teh tutorial section you are registered in. We plan to have the first midterm at 10% and the second at 15%. The two midterms together are worth %25. "
"Webwork link?: The syllabus says the Webwork page is accessible from the Quercus site... After exploring for a while, I cannot seem to find the webwork section or link anywhere in Quercus. Would anyone point it out for me? I might just be blind :(","At the moment we are having some technical difficulties with the WebWork page, so the link is not released. We will release it as soon as the tech issue is solved. "
Will tutorials following the SBG and DEV grading scheme?: Just wondering whether the formatting will be similar to linear algebra,"There is no indication in the syllabus that it will follow the SBG and DEV grading scheme. 
SBG grading has not been developed for MAT187 yet. We use traditional grading. That is everything you submit will count towards your grade as per the syllabus and there are not resubmission opportunities.  "
"CV3.1 Q23: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm7uk1dumz0m3%2Fee88e2736d240690a210da662662520fd9d03181dad169710a7443426197de30%2FScreenshot_2024-01-08_115737.png"" width=""359"" height=""92"" alt="""" /></p>
<p>How to integrate this?</p>","It’s all here. Let me know if there’s problems with the quality. <p></p><a href=""https://piazza.com/redirect/s3?bucket=uploads&amp;prefix=attach%2Flqvcjvs6s457j1%2Flmhs666216z10a%2Fkuvnolnprswf%2FSolution.pdf"" target=""_blank"" rel=""noopener noreferrer"">Solution.pdf</a><p></p><br /><p></p>"
Please help! I missed the first lecture. (0101): I just arrived in Canada today and missed the first MAT187 lecture today. <br /><br />Could anyone please summarize what we learned today and what needs to be done before the Wednesday&#39;s lecture?<br /><br />Thanks a lot!,"Don’t worry, today’s lecture was just an introductory one. We just had the professors and TAs introduce themselves and participated in some calc questions. Maybe check the syllabus if you haven’t already. Wednesday’s lecture will be when we actually dive into the course material."
"2021 Midterm Q2, Q5: <p>Hi, </p>
<p></p>
<p>I saw recommended problems for PCE1 were the 2021 Midterm Q2 and Q5. I could not find the midterm on Skule.ca; would these questions be accessible elsewhere? </p>
<p></p>
<p>Thanks</p>",We will release a page with all the midterms in our Quercus. 
"A1 PCE Clarification on first example: <p>Hello, i was wondering if someone could clarify where the 1/4 (highlighted) came from in this example on the A1 PCE. Do you need to multiple the antiderivative 1/2 (e^2x) by some value and why?</p>
<p></p>
<p>Thank you!</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm562039i1l1bg%2F25b80e2b49242f114ab189be395dc9ed1f8b7605bc6d15a6a175964e8ec2d074%2Fimage.png"" alt=""image.pngNaN"" width=""650"" height=""305"" /></p>",The antiderivative of e^2x is 1/2e^2x (you can verify with the substitution rule we learned last semester). In this case we have the integral of 1/2e^2x. We can factor out the 1/2. Then we end up with 1/2 * 1/2 * e^2x as being the result of integrating 1/2*e^2x
"A1 PCE question: <p>Hello,</p>
<p></p>
<p>The way that I have learned integration by parts was that u and v were the 2 parts of the integrand, and du and dv were the derivatives. Although in the pce, they made the 2 parts of the integrand u and dv. (Shouldn’t they have been u and v)?</p>
<p></p>
<p><a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flm5cgk9mzcv59j%2F7f3510f47bdfd44c5316355dcb61469b56e3a38bbd07f3e6a15c6e0156cecf9f%2FIMG_7602.jpeg"" target=""_blank"" rel=""noopener noreferrer"">IMG_7602.jpeg</a></p>","IBP is used when an integrant is a product of a function and a derivative of another function (we called them $$u$$ and $$d v$$). IBP allows you to trade this integral with another one where the integrant is $$v\:du$$, hoping that this second integral is easier to compute. "
