Question,Answer
What is Oddysey and how do I access it?: The course outline says that you should go to the location specified on Oddysey instead of Quest when going for your tutorial discussions. How do I access Oddysey? Is there a link somewhere that I&#39;m not seeing?,"<p>I think you want to go to this link: <a href=""https://odyssey.uwaterloo.ca/teaching/schedule"" target=""_blank"" rel=""noopener noreferrer"">https://odyssey.uwaterloo.ca/teaching/schedule</a></p>
<p></p>
<p>Currently, I can see Quiz 1 and 2 but there is no location or seating yet. I believe they will add these soon.</p>
<p>Yes, the student answer is correct. </p>
<p>Odyssey is where you will find your assigned seat for each quiz (your seat will vary from quiz to quiz). Note, however, that for tonight&#39;s tutorial, you should arrive to your assigned room on Quest. There will be an email sent with more details later today.</p>"
Homework: What&#39;s the homework for section 1 lecture?,There are practice problems posted on LEARN under content
What would be the correct proof of the following |a| − |b| ≤ |a &#43; b|: ,"There are provided solutions for practice questions, under week 1 :))<br /><br />It&#39;s recommended that you attempt those questions by yourself first and then look at the solution once you finish it, or if you struggle solving it after spend fair amount of time. Remember the foresight bias we just talked about today in the tutorial :)<br /><br />Also the student answer above is valid but there is an easier way to solve it. Considering different sessions has different progress so far, I recommend approaching practice problem Q2 after learning triangular inequality, since that will make this question a lot easier. Good luck!
There are provided solutions for practice questions, under week 1 :))<br /><br />It&#39;s recommended that you attempt those questions by yourself first and then look at the solution once you finish it, or if you struggle solving it after spend fair amount of time. Remember the foresight bias we just talked about today in the tutorial :)<br /><br />Also considering different sessions has different progress so far, I recommend approaching practice problem Q2 after learning triangular inequality, since that will make this question a lot easier. Good luck!
There are provided solutions for practice questions, under week 1 :))<br /><br />It&#39;s recommended that you attempt those questions by yourself first and then look at the solution once you finish it, or if you struggle solving it after spend fair amount of time. Remember the foresight bias we just talked about today in the tutorial :)<br /><br />Also note that the student&#39;s answer above is valid when you didn&#39;t learn triangular inequality. Considering different sessions has different progress so far, I recommend approaching practice problem Q2 after learning triangular inequality, since that will make this question a lot easier. Good luck!
There are provided solutions for practice questions, under week 1 :))<br /><br />It&#39;s recommended that you attempt those questions by yourself first and then look at the solution once you finish it, or if you struggle solving it after spend fair amount of time. Remember the foresight bias we just talked about today in the tutorial :)
There are provided solutions for practice questions, under week 1 :))<br /><br />It&#39;s recommended that you attempt those questions by yourself first and then look at the solution once you finish it, or if you struggle solving it after spend fair amount of time.
<p>The best way to approach such a question is by analyzing the cases of the variables. For this question there are 4 such cases.</p>
<p></p>
<p><strong>Case 1:</strong> $$a \geq 0$$ and $$b \geq 0$$ <br /></p>
<p><strong>Case 2:</strong> $$a \leq 0$$ and $$b \leq 0$$</p>
<p><strong>Case 3:</strong> $$a \geq 0$$ and $$b \leq 0$$</p>
<p><strong>Case 4:</strong> $$a \leq 0$$ and $$b \geq 0$$</p>
<p></p>
<p>Good luck!</p>"
"Who should I contact if I would arrive late for the quiz and what should I do?: <p>The quiz should be on the tutorial class every Wednesday starting at 6:30 PM. However, I had my EMLS129R-003 class which was located in Renison from 4:30PM to 6:20PM. Although the google says this is an 8-minute walk from Renison to M3 or somewhere near M3 and MC building inside the main campus, considering the possible delay and all kinds of things to do during the transition like packing up, waiting for elevator, climbing up and down, finding the new classroom in the not-so-familiar building, etc., it seemed impossible for me to arrive on time. </p>
<p></p>
<p>Who should I contact it for? And what probably would be a solution for it? From my observation, there is at least one more student in EMLS129R-003 who also took Math137 and would need to travel to the main campus for quiz. So it should be a quite common situation not just for me but for many students. </p>
<p></p>
<p>By the way, here is my schedule in attempt to prove my words. </p>
<p><a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwb4mua2f670%2Fe6fdef525702cdd458350b9b9557a19372f405c2c77a8a0d67536df6d5aea625%2F_____2023-09-07_153920.png"" target=""_blank"" rel=""noopener noreferrer"">_____2023-09-07_153920.png</a></p>","<p>Typically, it takes the TAs some time to set up the room and for students to find their seats. Historically, the quizzes have started a few minutes after 6:30pm so you will probably be okay.</p>
<p></p>
<p>It&#39;s also a good idea to scope out the buildings and rooms beforehand. The tutorial rooms are: M3 1006, DC 1350 &amp; 1351, EXP 1689, and UTD 105. <br />Note that your assigned seat is going to be different each week and you will likely be in different classrooms as well.</p>
Same here, I also have EMLS 129 in Rension from 4:30pm to 6:20pm. "
"Triangle Inequality Proof Question: <p>Hello, I have a question about the approach we used to prove the Triangle Inequality in 1 dimension on the first day of class. In our proof, for a 1d triangle abc, we assumed a &lt; b, then did 3 cases, each assuming c to be in a different interval (either c &lt; a &lt; b or a &lt; c &lt; b or a &lt; b &lt; c), then demonstrating the inequality for |a-b| $$\leq$$ |c-b| &#43; |a-c| is true in each case. Would it also be valid a method for proving to assume the 1d  triangle abc has a &lt; b &lt; c, then demonstrating</p>
<p>|a-b| $$\leq$$ |a-c| &#43; |b-c|,</p>
<p>|a-c| $$\leq$$ |a-b| &#43; |b-c|,</p>
<p>and |b-c| $$\leq$$ |a-b| &#43; |a-c|?</p>
<p></p>
<p>Would this be a valid method for proving the triangle inequality?</p>","I&#39;m not quite sure if I understand the question, but once we&#39;ve proven the triangle inequality then we can replace the variables in the expression to derive any other equivalent expression. The three equations you&#39;ve written look like the original $$|x-z| \leq |x-y| + |y-z|$$ but with the variables $$x,y,z$$ replaced with different combinations of $$a,b,c$$."
Quiz 1: Will absolute values be on the quiz next week? Or will it only be the content in 1.2 (sequences and limits)?,"<p>Not an answer but to add on:</p>
<p></p>
<p>i thought the quiz was only going to cover 1.1, would it cover both?</p>
Quiz 1 will <strong>ONLY COVER</strong> material studied this week (which is, abs. value and triangular inequality).<br /><br />Your future quiz will <strong>ONLY COVER </strong>the previous week&#39;s material as well :)"
"Practice Problem Q2 a): <p>To prove |a| - |b| = |a&#43;b|, is it necessary to include the proof for the triangle inequality as well? Or can I just assume it&#39;s true and use it?</p>
<p></p>","<p>You don&#39;t need to include the proof. We assume you know triangular inequality and its proof.</p>
<p><br />When you answer the question on the quiz, you just need to write &#34;(by triangular inequality)&#34; beside the part where you used the theorem (VERY IMPORTANT NOTE AS THIS WILL SAVE YOU BUNCH OF TIME). You can check the practice solution as an example.<br /><br />Unless the question specifically mentioned &#34;Prove this theorem&#34;, you don&#39;t need to prove the <strong>theorem</strong> taught during the class. This is applied to all other math courses as well.<br /><br /></p>"
"Triangle Inequality used in the solution for 2a: <p>I am kind of confused on how the triangle inequality is used in 2a, do they put two zeros for x and z and use -b for y.</p>
<p></p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqw84q1caj2x8%2F47846e66f48b395c36aaf7b9d539aa279e68d827f716dbf97019e8229f68a28b%2F20230908_213721.jpg"" width=""566"" height=""300"" alt="""" /></p>","In question 2a, we used triangle inequality II (|x&#43;y| &lt;= |x| &#43; |y|), which you treat x as a&#43;b and y as -b.<br /><br />I meannnnnnn if you want to use triangle inequality I that would also work but it&#39;s more complicated as there are technically more steps, which x = a&#43;b, y = b and z = 0"
"Outline and Practice Problems | Question 4b: <p>Hello! I have a question about 4b:</p>
<p></p>
<p>||x| − |y|| ≤ |x − y| for all x, y ∈ R</p>
<p></p>
<p>I know it&#39;s true, just using my own logic, but I don&#39;t know how I should properly prove it&#39;s true. I was hoping I could get an example of how to properly prove a question like this.</p>",I think you just split into two cases |x| - |y| and |y| - |x| and use triangle inequality for each then you have proved the inequality is true.
Where to find Solutions to Practice Quiz 1: Where can I find solutions to Practice Quiz 1?,"I think you can find it under content browsers, and quizzes and then it should give you a practice quiz. "
"Math Question: <p>Just studying for the quiz with some questions online, just was wondering if someone could explain why they say to only take the left hand side to determine the interval.  </p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqw8rpo1vu6yt%2F705c3d202f688bb36771cc9be15cf21c954ece0ea54988344d16bce01fee5e85%2FScreenshot_2023-09-09_at_3.49.40_PM.png"" alt=""Screenshot_2023-09-09_at_3.49.40_PM.pngNaN"" /></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqw8rpo1vu6yt%2F044c6b6aa4f5d7a42655a10ddb5817d3b4dfb1e8f5f625034656418f7adca2ea%2FScreenshot_2023-09-09_at_3.49.27_PM.png"" alt=""Screenshot_2023-09-09_at_3.49.27_PM.pngNaN"" /></p>","Uhhhhhhh I am not too sure if I understand your question correct. But in this case, solving the left hand side $$(x+1-\frac{1}{\sqrt2})(x+1+\frac{1}{\sqrt2})$$ to negative value is equivalent solving the original inequality in case 1, since $$(x+1-\frac{1}{\sqrt2})(x+1+\frac{1}{\sqrt2}) < 0$$ is the same inequality as the original inequality but in a different form."
"Math137 Mobius: Hi, is Mobius for Math137 graded?","no it&#39;s just for practice, it isn&#39;t part of your overall grade "
Where can I access video material for this course?: I have heard that there are videos on the content we learn in this course. How can I access it?,"They are in the weekly outline pdf at LEARN, under Content -&gt; Weekly Outline &amp; Practice Problems."
"Where to find the assignments and thier due dates: Hi, I just wanted to know where to find the assignments and its due date, and has any assignment posted and where to check for the assignments.","This course has no assignments, only quizzes every Wednesday. With that being said, the practice questions, Mobius quiz and practice quiz are optional. However, it&#39;s strongly recommended to attempt those questions as they really help further solidify your learning and will help you develop better study skills.
This course has no assignments, only quizzes. With that being said, the practice questions, Mobius quiz and practice quiz are optional. However, it&#39;s strongly recommended to attempt those questions as they really help further solidify your learning and will help you develop better study skills."
"Question Regarding James Stewart Textbook: <p>Hello,</p>
<p>I was recommended to purchase a James Stewart calculus book for practice, and I found this one at a used book store. I was specifically recommended to purchase Calculus: Early Transcendentals, however this one has a different title. Is there a difference between the transcendentals and non-transcendentals versions?<img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqw8mmxg9o651%2Fa3521164375f63f12006863e156c4b36e9fc847b89ca8b446e8005cf968e4b90%2FCalculus_James_Stewart.jpg"" width=""337"" height=""403"" alt="""" /></p>","<p>Books with subtitles tend to sell better.</p>
<p></p>
<p>You&#39;d have to check the table of contents to confirm, but I&#39;m almost certain that this text covers all of the intro calculus themes. </p>
<p></p>
I have that book. The difference is that the early transcendentals version has more problems with transcendental functions earlier on in the book. This Stewart &#34;Calculus&#34; textbook should have everything from single variable to multi variable. The Stewart &#34;Calculus: Single Variable Calculus&#34; and Stewart &#34;Calulus: Multivariable Calculus&#34; are just 2 smaller books containing chapters 1-10 and 11-17 directly from the full Stewart &#34;Calculus&#34;."
