Question,Answer
Mobius in French: This isn&#39;t really a math-related question but the UI of the Mobius website is in French and there doesn&#39;t seem to be a way to change it. The lessons are still in English and I speak French but it&#39;s just kind of annoying and I was wondering if it was happening for anyone else or just me. Also wanted to know if there was a way to switch it.,"Try changing the preferred language list in your browser to have English at the top. For Chrome it can be accessed at chrome://settings/languages .
I have something similar actually, except for me my UI is in Chinese. I think it might have to do with where you got your computer from? Because although my computer has English as its display language, I got it from China so that might explain the Chinese UI. Currently, I haven&#39;t found any way to change it. I actually also had this issue with the CEMC software back in high school too."
"Bonus Quizzes: <p>As for the bonus quizzes, is it better for us to do them now or wait until we learn enough from the course?</p>
<p></p>","<p>These bonus quizzes are extensions of some of the material we do in class.  You will probably get more out of them if you wait until we have covered the related topics in class.</p>
<p></p>
<p><strong>Anton adds: </strong>you can do Bonus Quiz 1 right away. In school you probably learned how to solve quadratic equations $$ax^2 + bx + c = 0$$. In Bonus Quiz 1 you are asked to answer questions about the video which explains how to solve $$ax^3 + bx^2 + cx + d = 0$$.</p>
<p></p>
<p>Bonus Quiz 2 talks about proofs by contradiction, so probably wait until we cover Chapter 3.</p>
<p></p>
<p>Bonus Quiz 3 is related to the material from Chapter 9 (RSA and computer security).</p>
<p></p>
<p>Bonus Quiz 4 is related to the material from Chapter 10 (complex numbers).</p>
<p>These bonus quizzes are extensions of some of the material we do in class.  You will probably get more out of them if you wait until we have covered the related topics in class.</p>
<p></p>
<p><strong>Anton adds: </strong>you can do Bonus Quiz 1 right away. In school you probably learned how to solve quadratic equations $$ax^2 + bx + c = 0$$. In Bonus Quiz 1 you are asked to answer questions about the video which explains how to solve $$ax^3 + bx^2 + cx + d = 0$$.</p>
<p></p>
<p>Bonus Quiz 2 talks about proofs by contradiction, so probably wait until we cover that chapter.</p>
<p></p>
<p>Bonus Quiz 3 is related to the material from Chapter 9 (RSA and computer security).</p>
<p></p>
<p>Bonus Quiz 4 is related to the material from Chapter 10 (complex numbers).</p>
<p>These bonus quizzes are extensions of some of the material we do in class.  You will probably get more out of them if you wait until we have covered the related topics in class.</p>
<p></p>
<p><strong>Anton adds: </strong>you can do Bonus Quiz 1 right away. In school you probably learned how to solve quadratic equations $$ax^2 + bx + c = 0$$. In Bonus Quiz 1 you are asked to answer questions about how to solve cubic equations $$ax^3 + bx^2 + cx + d = 0$$.</p>
<p></p>
<p>Bonus Quiz 2 talks about proofs by contradiction, so probably wait until we cover that chapter.</p>
<p></p>
<p>Bonus Quiz 3 is related to the material from Chapter 9 (RSA and computer security).</p>
<p></p>
<p>Bonus Quiz 4 is related to the material from Chapter 10 (complex numbers).</p>
These bonus quizzes are extensions of some of the material we do in class.  You will probably get more out of them if you wait until we have covered the related topics in class. "
"Mobius MA01 Assignment: <p>Hello,</p>
<p></p>
<p>When navigating LEARN I saw that I could access MA01 from the Mobius links section in the content browser. When I clicked on it I was taken to a pre-test screen. Is this one of the 10 Mobius Assignments? How do I know what material is covered on it? Also, do the marks from these Mobius assignments count towards the &#34;Mobius Quizzes&#34; or &#34;Written Assignments&#34; component on the course outline? I tried searching the various course resources but couldn&#39;t find answers.</p>
<p></p>
<p>Thank you</p>","<p>Those are all excellent questions! We are very happy to see that you are exploring the course website.</p>
<p></p>
<p>All Mobius Assignments (MA01, MA02, ... MA10) count towards your <em>Mobius Assignments</em>. Mobius Assignments worth 5% of your course grade.</p>
<p></p>
<p>You can see what MA01 covers by going to the Course Schedule posted on LEARN (under <strong>Content -&gt; Course Information</strong>).</p>
<p></p>
<p>There you will find that MA01 covers the material of Chapter 1, and that it is due on Tue Sep 12 at 10 PM EDT. Notice that all the future MA&#39;s will be due on Mondays, as opposed to Tuesdays.</p>
<p></p>
<p>You have 2 attempts to complete it.</p>
<p></p>
<p>For more details, see the Mobius Assignments page on LEARN (under <strong>Content -&gt; Assessments</strong>), as well as the Mobius Assignments section in the MATH 135 course outline (outline.uwaterloo.ca).</p>
<p>Those are all excellent questions! We are very happy to see that you are exploring the course website.</p>
<p></p>
<p>All Mobius Assignments (MA01, MA02, ... MA10) count towards your <em>Mobius Assignments</em>. Mobius Assignments worth 5% of your course grade.</p>
<p></p>
<p>You can see what MA01 covers by going to the Course Schedule posted on LEARN (under <strong>Content -&gt; Course Information</strong>).</p>
<p></p>
<p>There you will find that MA01 covers the material of Chapter 1, and that it is due on Tue Sep 12 at 10 PM EDT. Notice that all the future MA&#39;s will be due on Mondays, as opposed to Tuesdays.</p>
<p></p>
<p>You have 2 attempts to complete it.</p>
<p></p>
<p>For more details, see the Mobius Assignments page on LEARN (under <strong>Content -&gt; Assessments</strong>), as well as the Mobius Assignments section in the MATH 135 course outline (outline.uwaterloo.ca).</p>
<p>Those are all excellent questions! We are very happy to see that you are exploring the course website.</p>
<p></p>
<p>All Mobius Assignments (MA01, MA02, ... MA10) count towards your <em>Mobius Assignments</em>. Mobius Assignments worth 5% of your course grade.</p>
<p></p>
<p>You can see what MA01 covers by going to the Course Schedule posted on LEARN (under <strong>Content -&gt; Course Information</strong>).</p>
<p></p>
<p>There you will find that MA01 covers the material of Chapter 1, and that it is due on Tue Sep 12 at 10 PM EDT. Notice that all the future MA&#39;s will be due on Mondays, as opposed to Tuesdays.</p>
<p></p>
<p>You have 2 attempts to complete it.</p>
<p></p>
<p>For more details, see the Mobius Assignments page on LEARN (under <strong>Content -&gt; Assessments</strong>), as well as the Mobius Assignments section in the MATH 135 course outline (outline.uwaterloo.ca).</p>
<p>Those are all excellent questions! We are very happy to see that you are exploring the course website.</p>
<p></p>
<p>All Mobius Assignments (MA01, MA02, ... MA10) count towards your <em>Mobius Assignments</em>. Mobius Assignments worth 5% of your course grade.</p>
<p></p>
<p>You can see what MA01 covers by going to the Course Schedule posted on LEARN (under <strong>Content -&gt; Course Information</strong>).</p>
<p></p>
<p>There you will find that MA01 covers the material of Chapter 1, and that it is due on Tue Sep 12 at 10 PM EDT.</p>
<p></p>
<p>You have 2 attempts to complete it.</p>
<p></p>
<p>For more details, see the Mobius Assignments page on LEARN (under <strong>Content -&gt; Assessments</strong>), as well as the Mobius Assignments section in the MATH 135 course outline (outline.uwaterloo.ca).</p>
<p>Those are all excellent questions! We are very happy to see that you are exploring the course website.</p>
<p></p>
<p>All Mobius Assignments (MA01, MA02, ... MA10) count towards your <em>Mobius Assignments </em>grade.</p>
<p></p>
<p>You can see what MA01 covers by going to the Course Schedule posted on LEARN (under <strong>Content -&gt; Course Information</strong>).</p>
<p></p>
<p>There you will find that MA01 covers the material of Chapter 1, and that it is due on Tue Sep 12 at 10 PM EDT.</p>
<p></p>
<p>You have 2 attempts to complete it.</p>
<p></p>
<p>For more details, see the Mobius Assignments page on LEARN (under <strong>Content -&gt; Assessments</strong>), as well as the Mobius Assignments section in the MATH 135 course outline (outline.uwaterloo.ca).</p>"
"Due Dates for Mobius Quizzes: <p>Hello, I was wondering firstly if Mobius assignments are referred to as Mobius quizzes and if they mean the same thing. If so, I&#39;m also confused what the course outline meant specifically by &#34;The deadline for Mobius quizzes is always 00:01 AM (EDT or EST).&#34; Does this mean, for example, if the deadline for MA 1 is Tuesday, Sept 12, that I should complete it the moment Tuesday starts at 12:00 am or Wednesday Sept 12:00 am?</p>
<p></p>
<p>Sorry another question too, could you clarify what this means also in the course outline?</p>
<p></p>
<p>&#34;Mobius quizzes will be available for 24 hours on Mondays, Wednesdays and Fridays starting on Monday, September 13th and ending on Monday, December 6th&#34;</p>
<p></p>
<p>If I&#39;m interpreting this right, Mobius quizzes/MA&#39;s will not be available on Tuesdays, Thursday and weekends? And if our first MA is due Sept 12, why is the start date on the 13th.</p>
<p></p>
<p>Thank you for your time!</p>","<p>I think you are looking at the Fall 2021 version of the course outline. The version for this term is <a href=""https://outline.uwaterloo.ca/view/ncxu79"" target=""_blank"" rel=""noopener noreferrer"">here</a>. Note that the deadlines for Mobius assignments are always 10pm, with the first being due Sept. 12th (which is a Tuesday - future MAs will be due on Mondays). There aren&#39;t any Mobius quizzes this term - just bonus quizzes on LEARN.</p>
<p></p>
<p>EDIT: I think the following button on the LEARN homepage was the source of the outdated link. I&#39;ve updated the button.</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fke609uapfp7k5%2Fd805ba194f74e82a2f09bd055ea815212051ed5114e7f0a7073c1ea253a49b0f%2FOutline.png"" width=""1354"" height=""938"" alt="""" /></p>
I think you are looking at the Fall 2021 version of the course outline. The version for this term is <a href=""https://outline.uwaterloo.ca/view/ncxu79"" target=""_blank"" rel=""noopener noreferrer"">here</a>. Note that the deadlines for Mobius assignments are always 10pm, with the first being due Sept. 12th (which is a Tuesday - future MAs will be due on Mondays). There aren&#39;t any Mobius quizzes this term - just bonus quizzes on LEARN."
"Do we need to justify our proofs of a set of numbers existing which meet a certain specification?: <p>For questions which ask to prove there exists a set of numbers that meet a certain specification, such as in WA1, Question 1b, do we need to justify our answer or can we just provide a set of numbers which meet the specification? Like for example in this question, providing 4 integers which prove P(4).</p>
<p></p>
<p>WA1 Question 1b for reference:</p>
<p>Let P(n) denote the open sentence</p>
<p>          n can be written as a sum of four perfect cubes.</p>
<p>Prove P(4), P(5) and P(−5)</p>","<p>You don&#39;t need to explain how you came up with your solution - just demonstrate that it works. For example, to prove $$P(13)$$, your proof would include the line $$13=10^3+7^3+1^3+(-11)^3$$.</p>
<p></p>
<p>Check out p. 39 of the course notes about proving existentially quantified statements. Finding a solution by trial-and-error may seem like &#34;magic&#34;, but it&#39;s still mathematically valid.</p>"
"Question about mathematical statement: <p><a href=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwelvposqnn%2F896412a844ec8ffcae59fede763d1712c34688c74ad036f527211fcf7ceb03ad%2F__2023-09-07___8.25.35.png"" target=""_blank"" rel=""noopener noreferrer"">__2023-09-07___8.25.35.png</a></p>
<p>Good Evening, Could someone explain why &#34;Does 5=7?&#34; is not a mathematical statement? It seems to be clearly false. which is satisfied that a mathematical statement is either true or false.</p>","<p>questions are not mathematical statements.</p>
<p></p>
<p>&#34;5=7&#34; is a statement</p>
<p>&#34;Does 5=7?&#34; is not</p>"
"Written assignments: <p>Hello everyone, </p>
<p></p>
<p>Do we need to write the personal information below the title for our Written assignments? For example our name, or Waterloo ID!!!</p>","This isn&#39;t strictly necessary, since if you use your personal Crowdmark submission link, all of your personal information (name, UW email, and student ID) is tied to your Crowdmark account. But you might as well write that stuff on the first page for ease of mind :)"
Where do I find assignment 0? The one that is due today: ,"All the written assignments will have links on <a href=""https://learn.uwaterloo.ca/d2l/le/content/933011/viewContent/5029648/View"" target=""_blank"" rel=""noopener noreferrer"">this page</a> - scroll down to &#34;assignment files&#34;. You can get there by clicking &#34;content -&gt; assessments&#34; on LEARN."
No courses yet: I don’t see any courses added in my crowdmark account. It shows “no courses yet.” How can I add Math135 on to it?<p></p>,"Please check your email again, you should have received an email from Crowdmark.
Check your email again, you should have received an email from Crowdmark.
<p>I don&#39;t have any courses added to my <strong>crowdmark</strong> either. I received an email about it on my LEARN account but again there is no section for submitting. So if someone knows how to solve this problem please let us know!!!</p>
<p></p>
<p>Thank you </p>"
Written Assignment: Do we have to type out the answers to the written assignments or can we write them on paper and submit a photo of the paper?,"<p>You’re highly encouraged to typeset the assignments but it’s not required.</p>
<p></p>
<p>If you choose to handwrite your assignment and scan it or take pictures of it to upload it to Crowdmark, please make sure your assignment pages are rotated correctly and are legible.</p>
<p></p>
<p><strong>Anton adds:</strong> The instructions provided in Crowdmark Submission Practice answer these questions!</p>
<p></p>
<p><em>If you are writing on a piece of paper, make sure to scan or photograph your answers when finished. You are encouraged to typeset your solutions in $$\LaTeX$$. Using MS Word or writing on your tablet is also an option. Just remember that Crowdmark only accepts PDF or common image formats.</em></p>
<p></p>
<p>You&#39;re highly encouraged to typeset the assignments but it&#39;s not required. </p>
<div></div>
<div>If you choose to handwrite your assignment and scan it or take pictures of it to upload it to Crowdmark, please make sure your assignment pages are rotated correctly and are legible.</div>
<div></div>
<div></div>
<div><strong>Anton adds: </strong>The instructions provided in Crowdmark Submission Practice answer these questions!<br /><br /><em>If you are writing on a piece of paper, make sure to scan or photograph your answers when finished. You are encouraged to typeset your solutions in $$\LaTeX$$. Using MS Word or writing on your tablet is also an option. Just remember that Crowdmark only accepts PDF or common image formats.</em></div>
<p>You&#39;re highly encouraged to typeset the assignments but it&#39;s not required. </p>
<div></div>
<div>If you choose to handwrite your assignment and scan it or take pictures of it to upload it to Crowdmark, please make sure your assignment pages are rotated correctly and are legible.</div>
<div></div>
<div><strong>Anton adds: </strong>The instructions provided in Crowdmark Submission Practice answer these questions!<br /><br /><em>If you are writing on a piece of paper, make sure to scan or photograph your answers when finished. You are encouraged to typeset your solutions in $$\LaTeX$$. Using MS Word or writing on your tablet is also an option. Just remember that Crowdmark only accepts PDF or common image formats.</em></div>
You&#39;re highly encouraged to typeset the assignments but it&#39;s not required. <div><br /></div><div>If you choose to handwrite your assignment and scan it or take pictures of it to upload it to Crowdmark, please make sure your assignment pages are rotated correctly and are legible.</div>"
