Question,Answer
"Could someone help explain what I am confused from the lecture note?: <p>Hello, this is from what we covered in class today. I am confused how we got the result of the two summations that are highlighted. Thank you in advance.</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwb17ooi55le%2F86f5d6a9b06d20619a7db08e14ce8e930eed907880baf91acef027e8926fa163%2Fimage.png"" alt=""image.pngNaN"" /></p>","<p>the first one is simply saying 1&#43;1&#43;1&#43;...&#43;1, n times since i goes from 1 to n, so that sum is n</p>
<p></p>
<p>for the second one, the result is equivalent to $$\frac{n}{2}(n+1)$$. to see why this form is true, consider pairing up 1 with the last number n, 2 with the second last number n-1, and adding these pairs. you&#39;ll see that each pair adds to $$n+1$$. since we have n numbers, there are n/2 pairs, hence the sum is the sum of each pair multiplied by the number of pairs, or $$\frac{n}{2}(n+1)$$</p>"
"Integrability Theorem for cts. functions: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwc62io9y5uf%2F6c7eb4b93b46628180d11c173ac438853140289381f9f1bddd314aaf93990bbb%2Fimage.png"" alt=""image.png"" /></p>
<p>Given the remark on the textbook, does that mean the area under the curve can be found with a discontinuous function?</p>","<p>Yes, as long as the function doesn&#39;t have <em>too</em> many discontinuities, we can make sense of the area under it&#39;s graph. </p>
<p></p>
<p>For example, consider the function on [0,2] given by f(x)=1 when $$0\leq x\leq 1$$ and f(x)=5 when $$1<x\leq 2$$. This function is discontinuous at x=1, but I bet you can figure out the area under it&#39;s graph by sketching it.</p>"
"Definite integral: <p>Can someone explain the last two sentences about the norm and Sn, with graph would be the best.</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fkt7ruyp6gi23k1%2Fcffa793d5371d5ab24000aedca7d26dd2d93782b3767a0450b86cb8cada1ba79%2Fimage.png"" alt=""image.pngNaN"" /></p>","<p>$$P_n$$ refers to a partition of $$[a,b]$$ consisting of n-subintervals, $$\{P_n\}$$ is a sequence of these partitions of $$[a,b]$$ - so as n gets large our partition, $$P_n$$, consists of more sub-intervals, and as stated on Pg. 13 of the course notes $$\|P_n\| = max\{\Delta t_1, \Delta t_2, \cdots, \Delta t_n\}$$, which is the length of the largest sub-interval.</p>
<p></p>
<p>Also, $$\{S_n\}$$ refers to the sequences of Riemann sums associated with the $$P_n$$&#39;s, where $$S_n = \sum_{i=0}^{n}f(c_i)\Delta t_i$$. Where our $$\Delta t_i$$ is the length of our ith sub-interval of our partition $$P_n$$ and our $$c_i$$ is a value in our ith sub-interval of our partition $$P_n$$.</p>
<p></p>
<p>Putting these together we see that the statement is saying:</p>
<p>If there exists a unique value $$I \in \mathbb{R}$$ such that if we have <em>any</em> sequence of partitions which satisfy $$\lim_{n \to \infty}\|P_n\| = 0$$, i.e. our largest sub-interval goes to zero as n goes to $$\infty$$, then for <em>any</em> sequence of Riemann sums associated with these $$P_n$$&#39;s we have that the limit of our sequence of Riemann sums approaches this unique value $$I$$, i.e. $$\lim_{n \to \infty} S_n = I$$.</p>
<p></p>
<p>Notice: This tells us that <em>IF</em> our function in integrable, we may partition $$[a,b]$$ in <em>ANY</em> way as long as the largest sub-interval of this partition gets really small as $$n \to \infty$$ and we may choose <em>any </em>$$c_i \in [t_{i-1},t_i]$$ for our Riemann sums and we will still get the same unique value of $$I$$ for our integral.</p>
<p></p>
<p>I googled &#34;desmos riemann sum visualization&#34; and found this: <a href=""https://www.desmos.com/calculator/tgyr42ezjq"" target=""_blank"" rel=""noopener noreferrer"">https://www.desmos.com/calculator/tgyr42ezjq</a> . I think this does a really good job showing what is happening as you change the value of n - the norm of our partitions become smaller and our Riemann sums become a better approximation of the area under the curve as n gets large. However, note that in this visualization the partitions are &#34;regular n-partitions&#34; and the $$c_i$$&#39;s are all chosen in the same way both of which our theorem doesn&#39;t require us to do!</p>
<p></p>"
"Lecture One Questions: <p>I am a bit confused on a few things from class and wanted some clarification. Thank you in advance!</p>
<p></p>
<p>1. For the summation shown below, it&#39;s trying to represent the the estimate of the area right? As in, it would be (1/10 * 1/100) &#43; (1/10 * 4/100)&#43;......</p>
<p>. <img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwdwm2tzz2kh%2Fbb3747a1181712cef8114fa75b0b814c90b36f78c316837afa0e965adc20dad5%2FScreenshot_2024-01-08_at_5.23.18_PM.png"" width=""460"" height=""299"" alt="""" /></p>
<p>2. I noticed in our lessons and the videos posted in the weekly practice problems that we used the second formula (as shown below in the picture) a lot. I was wondering if how the summation equals the right side was something we learned in class, or just a formula we have to know</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwdwm2tzz2kh%2F5db1b17078cee952a4e0ba9eb1c32fc52c54c3e931b8ba28f4d9c0e85e453c7f%2FScreenshot_2024-01-09_at_1.23.06_PM.png"" width=""716"" height=""76"" alt="""" /></p>
<p>3. What does Sn and S represent in this limit? (eg. area, sum of the rectangles?) Is this true for all sequences?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwdwm2tzz2kh%2Fa19f26beb89971f102eece58949c41214e92c00a6cc847420dc2304543321808%2FScreenshot_2024-01-09_at_1.30.25_PM.png"" width=""753"" height=""144"" alt="""" /></p>
<p></p>","<p>1. Yes, the sum represents the area of the sum of the rectangles which is an estimate of the area under the curve.</p>
<p></p>
<p>2. If a &#34;calculate the Riemann sum&#34; question appears on a evaluation the required summation formulas would be provided. The proofs/derivations of these formulas is something that may have been covered in Math 135 and they can be proved by induction (or by construction).</p>
<p></p>
<p>3. $$S_n$$ represents the Riemann Sum of a partition $$P_n$$, in the picture you provided for your first question we could call this sum $$S_{10}$$ as it represents the Riemann sum of a partition with 10 sub-intervals. More intuitively, $$S_n$$ represents the area of the rectangles which we are using to approximate the area under the curve. In this limit that you provided, the value of $$s$$ would be the value of the area under the curve (if the function is integrable), i.e. the limit value of the sequence of $$S_n$$&#39;s.</p>
<p></p>
<p>Note: The value $$s$$ is really just the limit of a sequence (since each $$S_n$$ is really just a number which represents the area of a collection of rectangles) and so <em>if</em> the sequence $$\{S_n\}$$ doesn&#39;t converge then this $$s$$ doesn&#39;t exist. There do exist functions where $$\lim_{n \to \infty}\{S_n\}$$ does not exist for any partition depending on the chosen $$c_i$$&#39;s (see question 4 on the practice problems). There are also functions where $$\lim_{n \to \infty}\{S_n\}$$ is <em>not </em>the same for every sequence of $$S_n$$&#39;s and can vary depending on the chosen values of $$c_i$$ or the partition. Thus if we have an arbitrary function this is not necessarily true for all sequences $$\{S_n\}$$.</p>
<p></p>
<p>Aside: This is why we define integrable in the way that we do on page 15 of the course notes! We say that our function is integrable on $$[a,b]$$ if there exists a <em>unique </em>$$s \in \mathbb{R}$$ such that $$\lim_{n \to \infty}\{S_n\} = s$$ for <em>any</em> sequence of Riemann Sums, $$\{S_n\}$$, provided that our sequence of corresponding partitions satisfies $$\lim_{n\to\infty}\|P_n\|=0$$.</p>
<p>1. Yes, the sum represents the area of the sum of the rectangles which is an estimate of the area under the curve.</p>
<p></p>
<p>2. If a &#34;calculate the Riemann sum&#34; question appears on a evaluation the required summation formulas would be provided. The proofs/derivations of these formulas is something that may have been covered in Math 135 and they can be proved by induction (or by construction).</p>
<p></p>
<p>3. $$S_n$$ represents the Riemann Sum of a partition $$P_n$$, in the picture you provided for your first question we could call this sum $$S_{10}$$ as it represents the Riemann sum of a partition with 10 sub-intervals. More intuitively, $$S_n$$ represents the area of the rectangles which we are using to approximate the area under the curve. In this limit that you provided, the value of $$s$$ would be the value of the area under the curve (if the function is integrable), i.e. the limit value of the sequence of $$S_n$$&#39;s.</p>
<p></p>
<p>Note: The value $$s$$ is really just the limit of a sequence (since each $$S_n$$ is really just a number which represents the area of a collection of rectangles) and so <em>if</em> the sequence $$\{S_n\}$$ doesn&#39;t converge then this $$s$$ doesn&#39;t exist. There do exist functions where $$\lim_{n \to \infty}\{S_n\}$$ does not exist for any partition (see question 4 on the practice problems). There are also functions where $$\lim_{n \to \infty}\{S_n\}$$ is <em>not </em>the same for every sequence of $$S_n$$&#39;s and can vary depending on the chosen values of $$c_i$$ or the partition. Thus if we have an arbitrary function this is not necessarily true for all sequences $$\{S_n\}$$.</p>
<p></p>
<p>Aside: This is why we define integrable in the way that we do on page 15 of the course notes! We say that our function is integrable on $$[a,b]$$ if there exists a <em>unique </em>$$s \in \mathbb{R}$$ such that $$\lim_{n \to \infty}\{S_n\} = s$$ for <em>any</em> sequence of Riemann Sums, $$\{S_n\}$$, provided that our sequence of corresponding partitions satisfies $$\lim_{n\to\infty}\|P_n\|=0$$.</p>"
Right-hand Riemann Sum: Do the Right-hand Riemann Sum and the Left-hand Riemann Sum have to be regular n-partition or not?,"No, the Right-hand and Left-hand Riemann Sums do not require P to be a regular n-partition, see page 15 of the course notes."
"Solutions for PP1: <p>Hi, </p>
<p></p>
<p>I was just wondering when the solutions to Practice Problem 1 will be posted. </p>
<p></p>
<p>Thank you. </p>",Solutions to the practice problems are released on Fridays.
"How do we get 1/n^3: <img src=""https://cdn.discordapp.com/attachments/1166892443225030686/1194388633319374858/image.png"" />","<p>As we see on page 15 of the course notes, we see that if $$P_n$$ is the regular n-partition we have that:</p>
<p></p>
<p style=""text-align:center"">$$R_n = \sum_{i=1}^n f(a+i(\frac{b-a}{n})) (\frac{b-a}{n})$$</p>
<p style=""text-align:left""></p>
<p style=""text-align:left"">In this question we have that b = 1, a = 0, and f(x) = x^2. Substituting these in and simplifying gives us $$\frac{1}{n^3}\sum_{i=1}^n i^2$$, as desired.</p>"
"Double audio in weekly outline videos: <p>Hi, </p>
<p></p>
<p>This problem started for me near the end of MATH 137 last term, but all the videos in the weekly outlines play double audio that are out of sync with each other by about 1 second, which makes it really hard to listen to. Before I make this too long explaining the problem, has anyone had this before and fixed it?</p>",Can you give a specific link to a video that has this issue? I can take a look and see if it&#39;s something on our end.
"Tutorials for this Term: <p>Hi,</p>
<p></p>
<p>I had a couple of questions regarding tutorials this term that I was hoping someone might be able to clarify for me.</p>
<p></p>
<p>1. Although there is no quiz tomorrow, are we still expected to go to tutorial (i.e. in MATH 137, there was a presentation during the first tutorial)?</p>
<p>2. Will we still have regular tutorials in advance of weekly quizzes (virtual or otherwise) as was done in MATH 137 last term?</p>
<p></p>","1. No tutorial for the first week. First quiz is on Jan 17.
2. I believe you are talking about the weekly review session? If so, that will be happening again this term virtually. I believe those will be taking place on Tuesdays from 9:00 - 10:00 am and will be recorded. Keep an eye out for a more official announcement on LEARN."
"Notation for definition of integrable function: <p>Hi, when looking at the slides (and the course notes) for the definition of an integrable function in section 1.2, I encountered the following notation:</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqwdcyaasj6we%2F166fe4e65560eba7451baa4ceedf628e292ee27fbaa111983f1fc8549fa0804a%2FIMG_0047.jpg"" alt=""IMG_0047.jpgNaN"" width=""314"" height=""167"" /></p>
<p>It looks familiar (magnitude of a vector from math 136) and that kind of makes sense since Pn would be decreasing so I guess the magnitude would go to 0, but it isn&#39;t a vector so what is this referring to? </p>
<p></p>
<p>Thank you :)</p>",Its the norm of the partition. This refers to the the interval of greatest length of the partition.
"note 2 properties question (f(x) &gt; g(x)): <p>For this property here, if the functions were below the graph wouldn&#39;t you have that g(x)&gt;f(x) but then the area of f(x) would still be greater than g(x) proving it isn&#39;t always correct?</p>
<p></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqw8rpo1vu6yt%2F9ea3279fae8f066272acd4a55912e00ff93bc07af65e443a3adeec2184f69149%2FScreenshot_2024-01-10_at_5.21.58_AM.png"" alt=""Screenshot_2024-01-10_at_5.21.58_AM.pngNaN"" width=""511"" height=""158"" /></p>","If $$f(x)<0$$ and $$g(x) <0$$ on some interval, the area under the curve becomes negative (signed area) so even if $$0 > f(x) > g(x)$$ on $$[a.b]$$, $$|\int_{a}^{b}g(x)dx| > |\int_{a}^{b}f(x)dx|$$ but $$\int_{a}^{b}f(x)dx > \int_{a}^{b}g(x)dx$$.
If $$f(x)<0$$ and $$g(x) <0$$ on some interval, the area under the curve becomes negative (signed area) so even if $$0 > f(x) > g(x)$$ on $$[a.b]$$, $$|\int_{a}^{b}g(x)dx| > |\int_{a}^{b}f(x)dx|$$ but $$\int_{a}^{b}f(x)dx > \int_{a}^{b}g(x)dx$$
If $$f(x)<0$$ and $$g(x) <0$$ on some interval, the area under the curve becomes negative (signed area) so even if $$0 > f(x) > g(x)$$ on $$[a.b]$$, $$|\int_{a}^{b}g(x)dx| > |\int_{a}^{b}f(x)dx|$$ but $$\int_{a}^{b}f(x)dx > \int_{a}^{b}g(x)dx$$.
If $$f(x)<0$$ and $$g(x) <0$$ on some interval, the area under the curve becomes negative (signed area) so even if $$0 > f(x) > g(x)$$ on $$[a.b]$$, $$|\int_{a}^{b}g(x)dx| > |\int_{a}^{b}f(x)dx|$$ but $$\int_{a}^{b}f(x)dx > \int_{a}^{b}g(x)dx$$
If $$f(x)<0$$ and $$g(x) <0$$ on some interval, the area becomes negative (signed area) so even if $$0 > f(x) > g(x)$$ on $$[a.b]$$, $$|\int_{a}^{b}g(x)dx| > |\int_{a}^{b}f(x)dx|$$ but $$\int_{a}^{b}f(x)dx > \int_{a}^{b}g(x)dx$$"
"definite integral: <p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flkqweiycmgr50%2Fe6ae27b64539c25d2da139104eed22807462638fa9bfd84710d6bc45e65e9864%2Fimage.png"" alt=""image.pngNaN"" /></p>
<p></p>
<p>Why the answer of this definite integral is 0? Based on the properties of the definite integral, this is an even function and the area should be twice as much as the original one?</p>","<p>You are correct that even functions would double. However the integral they have written there is:</p>
<p></p>
<p>$$\int_{x=-2}^{x=2} \textbf{x} f(x) dx = 0$$ </p>
<p></p>
<p>There is an additional factor of x in the integrand.</p>
Cuz odd times even is an odd function"
Definite Integral and Riemann Sum: Will we be expected to know how to calculate a definite integral using both left and right Riemann sum?,"<p>I believe knowing how to calculate both left hand and right hand Riemann sums is expected. </p>
<p></p>
<p>I am pretty sure that definition of Riemann sums explains that you could take Riemann sums from <em>any point in the partitions,</em> and I think knowing how to do this in itself will improve on an understanding of what a Riemann Sum actually is. <br /><br /><br /><br /><br /></p>
<p>I believe knowing how to calculate both left hand and right hand Riemann sums is expected. </p>
<p></p>
<p>I am pretty sure that definition of Riemann sums explains that you could take Riemann sums from <em>any part of the partitions,</em> and I think knowing how to do this in itself will improve on an understanding of what a Riemann Sum actually is. <br /><br /><br /><br /><br /></p>
For a question that involves calculating $$\int_a^b f(x) \, dx$$ using a Riemann, if $$f(x)$$ is integrable, then you have free reign over which partitioning to use and which sample points $$c_i$$ to use. Using pen and paper, the regular right-hand Riemann sum is (arguably) easiest to use.

However, we can ask questions related to other Riemann sums. IIRC, there&#39;s at least one question on the practice quiz that requires knowledge of the left-hand Riemann sum."
Riemann Sum to Definite Int: If the bottom limit of the sum was 0 and the upper was n-1 would this be using left riemann sum? If so how does this change the way we approach the solution? ,"<p>The bottom limit of the sum being 0 and upper limit was $$(n-1)$$ this would amount to us labelling our sub-intervals differently. i.e. our zeroth interval would be $$[t_0, t_1]$$ - which normally we would say is our first interval and our $$\Delta t_0 = t_1 - t_0$$.</p>
<p></p>
<p>This would not be using a left Riemann sum. Our left and right Riemann sums refer to the $$c_i$$&#39;s that we are choosing in the sub-intervals not the way that we label/index our sub-intervals.</p>"
